,no.,time,source,destination,protocol,length,tcp_retransmission,SYN,ACK,Seq,Win,Len,MSS
83,84,1 days 14:39:39.599999999,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
84,85,1 days 14:39:45.129600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
85,86,1 days 14:39:50.745600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
86,87,1 days 14:39:56.793600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
87,88,1 days 14:40:02.323200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
88,89,1 days 14:40:07.852800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
89,90,1 days 14:40:13.468800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
90,91,1 days 16:34:00.192000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
91,92,1 days 16:34:06.758400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
92,93,1 days 16:34:12.460800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
93,94,1 days 16:34:18.076800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
94,95,1 days 16:34:23.606400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
95,96,1 days 16:34:29.049599999,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
96,97,1 days 16:34:34.579200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
97,98,1 days 16:34:40.368000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
98,99,1 days 16:34:45.811200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
99,100,1 days 16:34:51.427200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
100,101,1 days 16:34:56.956800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
101,102,1 days 18:07:44.313600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
102,103,1 days 18:07:52.953600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
103,104,1 days 18:07:59.088000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
104,105,1 days 18:08:05.136000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
105,106,1 days 18:08:10.752000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
106,107,1 days 18:08:16.281600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
107,108,1 days 18:08:22.329600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
108,109,1 days 18:08:27.859200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
109,110,1 days 18:08:33.388800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
110,111,1 days 18:08:39.350400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
111,112,1 days 18:08:45.139200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
112,113,1 days 18:08:51.360000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
113,114,1 days 18:08:56.889600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
114,115,1 days 18:09:02.419200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
115,116,1 days 18:09:07.948800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
116,117,1 days 18:09:13.564800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
117,118,1 days 19:38:39.004800000,64.13.134.52,172.16.0.8,TCP,60,False,False,True,1  ,0 Le,0,37  
118,119,1 days 19:41:13.574400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
119,120,1 days 19:41:19.536000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
120,121,1 days 19:41:25.411200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
121,122,1 days 19:41:30.940800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
122,123,1 days 19:41:36.470400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
123,124,1 days 19:41:42.086400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
124,125,1 days 19:41:47.616000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
125,126,1 days 19:41:53.404800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
126,127,1 days 19:41:59.366400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
127,128,1 days 19:42:04.896000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
128,129,1 days 19:42:10.512000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
129,130,1 days 19:42:16.387200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
130,131,1 days 19:42:22.176000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
131,132,1 days 19:42:27.619200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
132,133,1 days 19:42:33.148800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
133,134,1 days 19:42:38.678400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
134,135,1 days 19:42:44.208000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
135,136,1 days 19:42:50.169600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
136,137,1 days 19:42:55.699200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
137,138,1 days 19:43:01.228800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
138,139,1 days 19:43:06.758400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
139,140,1 days 19:43:12.288000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
140,141,1 days 19:43:17.472000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
141,142,1 days 19:43:22.915200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
142,143,1 days 19:43:28.444800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
143,144,1 days 19:43:33.974400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
144,145,1 days 21:07:37.920000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
145,146,1 days 21:07:43.708800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
146,147,1 days 21:07:49.584000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
147,148,1 days 21:07:55.200000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
148,149,1 days 21:08:01.075200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
149,150,1 days 21:08:06.864000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
150,151,1 days 21:08:12.480000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
151,152,1 days 21:08:18.614400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
152,153,1 days 21:08:24.316800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
153,154,1 days 21:08:29.932800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
154,155,1 days 21:08:35.548800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
155,156,1 days 21:08:41.078400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
156,157,1 days 21:08:46.953600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
157,158,1 days 21:08:52.483200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
158,159,1 days 21:08:58.099200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
